tam del arreglo, tiempo, intercambio 
10, 0.000000, 3
20, 0.000000, 11
30, 0.000000, 15
40, 0.000000, 26
50, 0.000000, 38
60, 0.000000, 47
70, 0.000000, 61
80, 0.000000, 75
90, 0.000000, 91
100, 0.000000, 94
200, 0.000000, 238
300, 0.000000, 409
400, 0.000000, 575
500, 0.000000, 725
600, 0.000000, 941
700, 0.000000, 1108
800, 0.000000, 1302
900, 0.000000, 1508
1000, 0.000000, 1740
2000, 0.000000, 3905
3000, 0.001000, 6329
4000, 0.001000, 8639
5000, 0.001000, 11365
6000, 0.001000, 13747
7000, 0.001000, 16429
8000, 0.001000, 19521
9000, 0.001000, 21948
10000, 0.002000, 24791
20000, 0.004000, 56127
30000, 0.006000, 88725
40000, 0.008000, 122197
50000, 0.010000, 156381
60000, 0.012000, 188609
70000, 0.015000, 232041
80000, 0.017000, 265266
90000, 0.019000, 306321
100000, 0.022000, 343249
200000, 0.037000, 1157705
300000, 0.058000, 1937224
400000, 0.078000, 2785560
500000, 0.093000, 3680950
600000, 0.110000, 4548984
700000, 0.129000, 5462282
800000, 0.149000, 6384022
900000, 0.169000, 7302705
1000000, 0.184000, 8293080
